"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,Dani,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,80,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Reinaldo 3",active,"Clique de 7 dias ou visualização de 1 dia",2090,actions:onsite_conversion.messaging_conversation_started_7d,81160,1.858342,2.17913876,80,Diário,4554.4,Contínuo,"Acima da média","Acima da média","Acima da média",150823,30.196986,2667,,1.707687,1.768298,3878,2.571226,1.17442,84,54.219048,,0.839661,0,3824.15,,
2026-05-01,2026-08-08,"Schi 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,80,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD001,not_delivering,"Clique de 1 dia",47,profile_visit_view,1095,1.053881,0.29106383,10,Diário,13.68,Contínuo,–,–,–,1154,11.854419,48,,0.285,4.159445,31,2.686308,0.44129,2,6.84,,,0,0,,
2026-05-01,2026-08-08,#AD001,inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 02 - Reinaldo",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",5,actions:offsite_conversion.fb_pixel_purchase,14547,1.443528,227.448,200,Diário,1137.24,Contínuo,–,–,–,20999,54.156865,367,,3.098747,1.747702,515,2.452498,2.208233,353,3.221643,,5.074698,0,5771.15,,
2026-05-01,2026-08-08,"AD 03 - Schi",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD001,not_delivering,"Clique de 1 dia",682,profile_visit_view,13978,1.0998,0.2508651,15,Diário,171.09,Contínuo,–,–,–,15373,11.129253,730,,0.23437,4.748585,698,4.540428,0.245115,244,0.701189,,,0,0,,
2026-05-01,2026-08-08,#AD001,not_delivering,"Clique de 1 dia",88,profile_visit_view,2786,1.076813,0.31534091,15,Diário,27.75,Contínuo,–,–,–,3000,9.25,94,,0.295213,3.133333,89,2.966667,0.311798,20,1.3875,,,0,0,,
2026-05-01,2026-08-08,"AD 05",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",4,actions:offsite_conversion.fb_pixel_purchase,10169,1.448815,285.1475,200,Diário,1140.59,Contínuo,"Na média","Na média","Abaixo da média – 35% mais baixos dos anúncios",14733,77.417362,319,,3.575517,2.165207,452,3.067943,2.523429,314,3.632452,,5.633795,0,6425.85,,
2026-05-01,2026-08-08,"AD 06",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",7,actions:offsite_conversion.fb_pixel_purchase,8010,1.447566,110.55285714,200,Diário,773.87,Contínuo,–,–,–,11595,66.741699,327,,2.366575,2.820181,446,3.846486,1.735135,307,2.520749,,10.088452,0,7807.15,,
2026-05-01,2026-08-08,"#AD002 - Vídeo",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,3228,1.112454,,60,Diário,194.08,Contínuo,–,–,–,3591,54.046227,51,,3.80549,1.420217,73,2.03286,2.65863,50,3.8816,,,0,0,,
2026-05-01,2026-08-08,"#AD001 - Máquina",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD002 - Carrossel Catálogo",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1,1,,60,Diário,0.1,Contínuo,–,–,–,1,100,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 01",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD006 -  Vídeo Camila",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 06",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD001,not_delivering,"Clique de 1 dia",1166,profile_visit_view,30000,1.1245,0.24947684,15,Diário,290.89,Contínuo,–,–,–,33735,8.622795,1215,,0.239416,3.601601,1177,3.488958,0.247145,65,4.475231,,,0,0,,
2026-05-01,2026-08-08,"#AD007 - Video Maira Cardi",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD007 - Publicação original",active,"Clique de 7 dias ou visualização de 1 dia",,,68,1.25,,200,Diário,3.57,Contínuo,–,–,–,85,42,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD007,active,"Clique de 7 dias ou visualização de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,1330,1.159399,197.69,200,Diário,197.69,Contínuo,–,–,–,1542,128.203632,32,,6.177813,2.075227,40,2.594034,4.94225,32,6.177813,,0.28833,0,57,,
2026-05-01,2026-08-08,#AD11,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 01",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,40,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD10 - Não vai dizer que ainda usa spray",inactive,"Clique de 7 dias ou visualização de 1 dia",2,actions:offsite_conversion.fb_pixel_purchase,12808,1.465568,333.43,300,Diário,666.86,Contínuo,"Acima da média","Acima da média","Abaixo da média – 35% mais baixos dos anúncios",18771,35.526077,369,,1.807209,1.965798,548,2.919397,1.216898,357,1.867955,,2.460262,0,1640.65,,
2026-05-01,2026-08-08,"#AD008 - Link tester",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,300,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD007,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD009,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD10 - Não vai dizer que ainda usa spray",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,6665,1.196249,454.45,60,Diário,454.45,Contínuo,–,–,–,7973,56.99862,112,,4.057589,1.404741,186,2.332873,2.44328,111,4.094144,,0.125426,0,57,,
2026-05-01,2026-08-08,"#AD007 - Video Maira Cardi",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,40,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
