"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"OFF - Reinaldo 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - Dani",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - Reinaldo",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"36 - Reinaldo Combo - Fale no WhatsApp",active,"Clique de 7 dias ou visualização de 1 dia",265,actions:onsite_conversion.messaging_conversation_started_7d,11319,1.238714,1.84788679,95,Diário,489.69,Contínuo,"Acima da média","Acima da média","Acima da média",14021,34.925469,345,,1.419391,2.460595,498,3.551815,0.983313,13,37.668462,,,0,0,,
2026-08-09,2026-08-13,"OFF - Schi 1",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - Schi 2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - Reinaldo 3 - V2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,95,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 04 - Reinaldo V2",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 03 - Schi",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 02 - Reinaldo",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 01 - Influencer",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"AD 03 - Schi",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,40,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
