"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"[ENGAJAMENTO MSG] Gkay",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[ALCANCE] Gkay",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] Mr. Carvalho - Mensagem",active,"Clique de 7 dias ou visualização de 1 dia",2637,actions:onsite_conversion.messaging_conversation_started_7d,109519,1.849716,2.24788017,"Usando o orçamento do conjunto de anúncios",0,5927.66,Contínuo,202579,29.26098,3535,,1.676849,1.744998,5153,2.543699,1.150332,113,52.457168,,0.654272,0,3878.3,,
2026-05-01,2026-08-08,"[CONVERSÃO] Mr. Carvalho - Site",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[CONVERSÃO] Mr. Carvalho - LP",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[MR CARVALHO] Leads Grupo",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[TRÁFEGO] Mr. Carvalho - Leads Grupo",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [TOPO] [VÍDEO] Campanha de engajamento",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [MEIO] [FORMS] Geração de leads",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [ECOMMERCE] [TESTES] Campanha de venda",active,"Configurações de vários atributos",222,actions:offsite_conversion.fb_pixel_purchase,210443,2.547949,153.00797297,"Usando o orçamento do conjunto de anúncios",0,33967.77,Contínuo,536198,63.349304,12489,,2.719815,2.329177,18232,3.400236,1.863085,11832,2.870839,,7.326013,0,248848.31,,
2026-05-01,2026-08-08,"[CONVERSÃO) Mr. Carvalho - Noivas",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,30,Diário,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [LEADS] [LP] Campanha de leads",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [ALWAYS ON] [VENDAS] Campanhas de vendas",active,"Configurações de vários atributos",84,actions:offsite_conversion.fb_pixel_purchase,107149,3.124481,208.7122619,"Usando o orçamento do conjunto de anúncios",0,17531.83,Contínuo,334785,52.36743,7746,,2.26334,2.313724,9826,2.935018,1.784229,7446,2.35453,,5.332249,0,93484.08,,
2026-05-01,2026-08-08,"[REMIND] [TOPO] [SEGUIDORES] Campanha de aquisição de pessoas",inactive,"Clique de 1 dia",3519,profile_visit_view,72399,1.343016,0.34108554,"Usando o orçamento do conjunto de anúncios",0,1200.28,Contínuo,97233,12.344369,3650,,0.328844,3.75387,3467,3.565662,0.346201,571,2.102067,,,0,0,,
2026-05-01,2026-08-08,"[GP] Campanha Live",inactive,"Clique de 7 dias ou visualização de 1 dia",57,actions:omni_landing_page_view,4635,1.445092,0.77912281,"Usando o orçamento do conjunto de anúncios",0,44.41,Contínuo,6698,6.630337,95,,0.467474,1.418334,163,2.433562,0.272454,57,0.779123,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [TOPO] [SEGUIDORES] [MAIO/26]",active,"Clique de 1 dia",11359,profile_visit_view,89996,2.515523,0.35566423,"Usando o orçamento do conjunto de anúncios",0,4039.99,Contínuo,226387,17.845504,11649,,0.34681,5.145613,11269,4.977759,0.358505,2498,1.61729,,0.027512,0,111.15,,
2026-05-01,2026-08-08,"[REMIND] [VIDEO VIEW] [TOPO] Campanha de visualização",active,"Clique de 7 dias ou visualização de 1 dia",15666,video_thruplay_watched_actions,29874,4.485037,0.07122048,"Usando o orçamento do conjunto de anúncios",0,1115.74,Contínuo,133986,8.327288,563,,1.981776,0.420193,1503,1.121759,0.742342,453,2.463002,,0.055748,0,62.2,,
2026-05-01,2026-08-08,"[REMIND] [TESTE JUNHO STORIES]",inactive,"Clique de 7 dias ou visualização de 1 dia",4,actions:offsite_conversion.fb_pixel_purchase,3178,3.184078,206.9525,"Usando o orçamento do conjunto de anúncios",0,827.81,Contínuo,10119,81.807491,162,,5.109938,1.600949,219,2.164245,3.779954,133,6.224135,,8.214143,0,6799.75,,
2026-05-01,2026-08-08,"[GP] CONVERSÃO - CBO",inactive,"Clique de 7 dias ou visualização de 1 dia",2,actions:offsite_conversion.fb_pixel_purchase,3720,1.627688,312.865,50,Diário,625.73,Contínuo,6055,103.34104,140,,4.4695,2.312139,177,2.923204,3.535198,130,4.813308,,3.009637,0,1883.22,,
2026-05-01,2026-08-08,"[GP] CONVERSÃO TESTES - CBO",inactive,"Clique de 7 dias ou visualização de 1 dia",,,2525,1.787723,,50,Diário,497.62,Contínuo,4514,110.239256,78,,6.379744,1.727957,104,2.303943,4.784808,66,7.539697,,,0,0,,
2026-05-01,2026-08-08,"[GP] Conversão Live 2",inactive,"Clique de 7 dias",1,actions:offsite_conversion.fb_pixel_purchase,18979,1.116761,653.6,"Usando o orçamento do conjunto de anúncios",0,653.6,2026-07-06,21195,30.837462,378,,1.729101,1.783439,426,2.009908,1.534272,45,14.524444,,0.078488,0,51.3,,
2026-05-01,2026-08-08,"[GP] Tráfego live",archived,"Clique de 7 dias ou visualização de 1 dia",1173,actions:link_click,128821,1,0.42625746,"Usando o orçamento do conjunto de anúncios",0,500,2026-06-28,128821,3.881355,1173,,0.426257,0.910566,1239,0.9618,0.403551,1,500,,,0,0,,
2026-05-01,2026-08-08,"[REMIND] [VENDAS] [FRIO] [CBO] - 08/07/26",active,"Clique de 7 dias ou visualização de 1 dia",60,actions:offsite_conversion.fb_pixel_purchase,129725,1.641442,225.9795,576.92,Diário,13558.77,Contínuo,212936,63.67533,5456,,2.485112,2.562272,6657,3.126291,2.036769,5222,2.596471,,7.208063,0,97732.47,,
2026-05-01,2026-08-08,"[VENDAS] [FRIO] [ABO] [ADVANTAGE -NOVO TESTE GABRIEL]",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",29,actions:offsite_conversion.fb_pixel_purchase,38668,2.216329,324.3937931,"Usando o orçamento do conjunto de anúncios",0,9407.42,Contínuo,85701,109.770248,1448,,6.496837,1.689595,2668,3.113149,3.526019,1357,6.932513,,5.873412,0,55253.65,,
