"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",Idade,Gênero,"Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",18-24,female,active,"Clique de 7 dias ou visualização de 1 dia",7,actions:onsite_conversion.messaging_conversation_started_7d,262,1.454198,1.46142857,"Usando o orçamento do conjunto de anúncios",0,10.23,Contínuo,381,26.850394,7,,1.461429,1.83727,11,2.887139,0.93,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",18-24,male,active,"Clique de 7 dias ou visualização de 1 dia",1,actions:onsite_conversion.messaging_conversation_started_7d,108,1.416667,4.45,"Usando o orçamento do conjunto de anúncios",0,4.45,Contínuo,153,29.084967,1,,4.45,0.653595,2,1.30719,2.225,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",18-24,unknown,active,"Clique de 7 dias ou visualização de 1 dia",,,3,1.333333,,"Usando o orçamento do conjunto de anúncios",0,0.18,Contínuo,4,45,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",25-34,female,active,"Clique de 7 dias ou visualização de 1 dia",34,actions:onsite_conversion.messaging_conversation_started_7d,1330,1.25188,1.34176471,"Usando o orçamento do conjunto de anúncios",0,45.62,Contínuo,1665,27.399399,45,,1.013778,2.702703,67,4.024024,0.680896,2,22.81,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",25-34,male,active,"Clique de 7 dias ou visualização de 1 dia",13,actions:onsite_conversion.messaging_conversation_started_7d,772,1.264249,2.17692308,"Usando o orçamento do conjunto de anúncios",0,28.3,Contínuo,976,28.995902,18,,1.572222,1.844262,27,2.766393,1.048148,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",25-34,unknown,active,"Clique de 7 dias ou visualização de 1 dia",,,29,1.206897,,"Usando o orçamento do conjunto de anúncios",0,0.96,Contínuo,35,27.428571,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",35-44,female,active,"Clique de 7 dias ou visualização de 1 dia",57,actions:onsite_conversion.messaging_conversation_started_7d,2590,1.273359,1.70859649,"Usando o orçamento do conjunto de anúncios",0,97.39,Contínuo,3298,29.530018,77,,1.264805,2.334748,119,3.608247,0.818403,4,24.3475,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",35-44,male,active,"Clique de 7 dias ou visualização de 1 dia",35,actions:onsite_conversion.messaging_conversation_started_7d,1242,1.198873,1.36685714,"Usando o orçamento do conjunto de anúncios",0,47.84,Contínuo,1489,32.128946,36,,1.328889,2.41773,48,3.22364,0.996667,1,47.84,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",35-44,unknown,active,"Clique de 7 dias ou visualização de 1 dia",,,30,1.133333,,"Usando o orçamento do conjunto de anúncios",0,1.16,Contínuo,34,34.117647,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",45-54,female,active,"Clique de 7 dias ou visualização de 1 dia",63,actions:onsite_conversion.messaging_conversation_started_7d,2945,1.222411,2.29126984,"Usando o orçamento do conjunto de anúncios",0,144.35,Contínuo,3600,40.097222,87,,1.659195,2.416667,122,3.388889,1.183197,4,36.0875,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",45-54,male,active,"Clique de 7 dias ou visualização de 1 dia",25,actions:onsite_conversion.messaging_conversation_started_7d,776,1.176546,1.5288,"Usando o orçamento do conjunto de anúncios",0,38.22,Contínuo,913,41.861993,26,,1.47,2.847755,35,3.833516,1.092,,,,,0,0,,
