"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",Plataforma,"Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo","Audience Network",active,"Configurações de vários atributos",,,6,5.166667,,"Usando o orçamento do conjunto de anúncios",0,0.601162,Contínuo,31,19.39232,1,,0.601162,3.225806,1,3.225806,0.601162,,,,,0,0,,
2026-08-09,2026-08-13,"01 - EVOLUTE - Vendas - Frio Testes","Audience Network",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,1,1,,"Usando o orçamento do conjunto de anúncios",0,0.010013,Contínuo,1,10.012841,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)","Audience Network",inactive,"Clique de 7 dias ou visualização de 1 dia",,,1,1,,150,Diário,0,Contínuo,1,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,active,"Configurações de vários atributos",,,3042,2.013807,,"Usando o orçamento do conjunto de anúncios",0,299.518906,Contínuo,6126,48.893063,115,,2.604512,1.877245,166,2.709762,1.804331,97,3.087824,,,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Facebook,active,"Clique de 1 dia",36,profile_visit_view,1709,1.226448,0.53526162,"Usando o orçamento do conjunto de anúncios",0,19.269419,Contínuo,2096,9.193425,50,,0.385388,2.385496,109,5.200382,0.176784,10,1.926942,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Facebook,active,"Clique de 7 dias ou visualização de 1 dia",202,video_thruplay_watched_actions,1440,1.238889,0.04433948,"Usando o orçamento do conjunto de anúncios",0,8.956575,Contínuo,1784,5.020502,7,,1.279511,0.392377,53,2.970852,0.168992,5,1.791315,,,0,0,,
2026-08-09,2026-08-13,"01 - EVOLUTE - Vendas - Frio Testes",Facebook,active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,320,1.428125,,"Usando o orçamento do conjunto de anúncios",0,33.192569,Contínuo,457,72.631442,10,,3.319257,2.188184,20,4.376368,1.659628,8,4.149071,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",Facebook,inactive,"Clique de 7 dias ou visualização de 1 dia",,,334,1.086826,,150,Diário,6.4,Contínuo,363,17.630854,2,,3.2,0.550964,76,20.936639,0.084211,1,6.4,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",Instagram,active,"Clique de 7 dias ou visualização de 1 dia",267,actions:onsite_conversion.messaging_conversation_started_7d,11366,1.249164,1.87228234,"Usando o orçamento do conjunto de anúncios",0,499.899385,Contínuo,14198,35.209141,348,,1.436492,2.451049,501,3.528666,0.997803,13,38.453799,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,active,"Configurações de vários atributos",24,actions:offsite_conversion.fb_pixel_purchase,40581,1.599271,215.17714151,"Usando o orçamento do conjunto de anúncios",0,5164.251396,Contínuo,64900,79.572441,1074,,4.808428,1.654854,1494,2.302003,3.456661,1007,5.128353,,7.720987,0,0,,
2026-08-09,2026-08-13,"05 - EVOLUTE - Vendas - Remarketing",Instagram,active,"Configurações de vários atributos",9,actions:offsite_conversion.fb_pixel_purchase,15845,2.183149,265.78333333,"Usando o orçamento do conjunto de anúncios",0,2392.05,Contínuo,34592,69.150382,623,,3.839567,1.800994,804,2.324237,2.975187,585,4.088974,,3.817989,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Instagram,active,"Clique de 1 dia",246,profile_visit_view,5662,1.157718,0.31715684,"Usando o orçamento do conjunto de anúncios",0,78.020582,Contínuo,6555,11.902453,260,,0.300079,3.966438,239,3.646072,0.326446,73,1.068775,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Instagram,active,"Clique de 7 dias ou visualização de 1 dia",1008,video_thruplay_watched_actions,4275,1.260117,0.0480552,"Usando o orçamento do conjunto de anúncios",0,48.439643,Contínuo,5387,8.991951,15,,3.22931,0.278448,44,0.816781,1.100901,13,3.726126,,,0,0,,
2026-08-09,2026-08-13,"02 - EVOLUTE - Vendas - Frio Prospecção",Instagram,active,"Clique de 7 dias ou visualização de 1 dia",15,actions:offsite_conversion.fb_pixel_purchase,20246,1.388966,185.30133333,530,Diário,2779.52,Contínuo,28121,98.841435,467,,5.951863,1.660681,592,2.105188,4.695135,448,6.204286,,8.813032,0,0,,
2026-08-09,2026-08-13,"01 - EVOLUTE - Vendas - Frio Testes",Instagram,active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",2,actions:offsite_conversion.fb_pixel_purchase,3481,1.278081,334.24366407,"Usando o orçamento do conjunto de anúncios",0,668.487328,Contínuo,4449,150.255637,116,,5.762822,2.607327,143,3.214205,4.674737,113,5.915817,,2.122867,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",Instagram,inactive,"Clique de 7 dias ou visualização de 1 dia",,,169,1.04142,,150,Diário,39.23,Contínuo,176,222.897727,4,,9.8075,2.272727,6,3.409091,6.538333,3,13.076667,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Messenger,active,"Configurações de vários atributos",,,1,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,1,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Threads,active,"Configurações de vários atributos",,,27,1.111111,,"Usando o orçamento do conjunto de anúncios",0,1.643176,Contínuo,30,54.77253,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Threads,active,"Clique de 7 dias ou visualização de 1 dia",43,video_thruplay_watched_actions,260,1.184615,0.04752982,"Usando o orçamento do conjunto de anúncios",0,2.043782,Contínuo,308,6.635657,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"01 - EVOLUTE - Vendas - Frio Testes",Threads,active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,7,1,,"Usando o orçamento do conjunto de anúncios",0,0.07009,Contínuo,7,10.012841,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"[PET] Teste Vertical - Conversão (Compra)",Threads,inactive,"Clique de 7 dias ou visualização de 1 dia",,,1,1,,150,Diário,0,Contínuo,1,0,1,,0,100,1,100,0,1,0,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo","Sem categoria",active,"Configurações de vários atributos",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,4,,0,,0,0,0,5,0,,,0,0,,
2026-08-09,2026-08-13,"02 - EVOLUTE - Vendas - Frio Prospecção","Sem categoria",active,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,530,Diário,0,Contínuo,0,0,1,,0,,0,0,0,1,0,,,0,0,,
