"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",Plataforma,Posicionamento,"Plataforma do dispositivo","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",Instagram,Feed,"No app",active,"Clique de 7 dias ou visualização de 1 dia",100,actions:onsite_conversion.messaging_conversation_started_7d,5344,1.107972,2.02655962,"Usando o orçamento do conjunto de anúncios",0,202.655962,Contínuo,5921,34.226645,129,,1.570976,2.178686,179,3.023138,1.132156,7,28.950852,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",Instagram,"Instagram Reels","No app",active,"Clique de 7 dias ou visualização de 1 dia",105,actions:onsite_conversion.messaging_conversation_started_7d,4691,1.15647,1.77326171,"Usando o orçamento do conjunto de anúncios",0,186.19248,Contínuo,5425,34.321194,133,,1.399943,2.451613,205,3.778802,0.908256,4,46.54812,,,0,0,,
2026-08-09,2026-08-13,"07 - EVOLUTE - Vendas - WhatsApp",Instagram,"Instagram Stories","No app",active,"Clique de 7 dias ou visualização de 1 dia",62,actions:onsite_conversion.messaging_conversation_started_7d,2374,1.201348,1.79114425,"Usando o orçamento do conjunto de anúncios",0,111.050944,Contínuo,2852,38.937918,86,,1.29129,3.015428,117,4.102384,0.949153,2,55.525472,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo","Audience Network","Nativo, banner e intersticial","No app",active,"Configurações de vários atributos",,,3,1,,"Usando o orçamento do conjunto de anúncios",0,0.15029,Contínuo,3,50.096826,1,,0.15029,33.333333,1,33.333333,0.15029,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo","Audience Network","Vídeo com incentivo","No app",active,"Configurações de vários atributos",,,4,7,,"Usando o orçamento do conjunto de anúncios",0,0.450871,Contínuo,28,16.102551,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Facebook Reels","No app",active,"Configurações de vários atributos",,,1643,1.510651,,"Usando o orçamento do conjunto de anúncios",0,121.384611,Contínuo,2482,48.905967,37,,3.280665,1.490733,54,2.175665,2.247863,31,3.915633,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Facebook Reels","Web móvel",active,"Configurações de vários atributos",,,2,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,2,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Anúncios no Facebook Reels","No app",active,"Configurações de vários atributos",,,50,1.84,,"Usando o orçamento do conjunto de anúncios",0,0.63122,Contínuo,92,6.861087,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Facebook Stories","No app",active,"Configurações de vários atributos",,,171,1.426901,,"Usando o orçamento do conjunto de anúncios",0,16.762398,Contínuo,244,68.698353,8,,2.0953,3.278689,8,3.278689,2.0953,7,2.394628,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,Feed,Computador,active,"Configurações de vários atributos",,,47,1.617021,,"Usando o orçamento do conjunto de anúncios",0,6.482529,Contínuo,76,85.296439,1,,6.482529,1.315789,2,2.631579,3.241265,1,6.482529,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,Feed,"No app",active,"Configurações de vários atributos",,,1442,2.049237,,"Usando o orçamento do conjunto de anúncios",0,147.254612,Contínuo,2955,49.832356,62,,2.375074,2.098139,93,3.147208,1.583383,51,2.887345,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,Feed,"Web móvel",active,"Configurações de vários atributos",,,9,4,,"Usando o orçamento do conjunto de anúncios",0,0.240465,Contínuo,36,6.679577,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Reels in-stream","No app",active,"Configurações de vários atributos",,,86,1.77907,,"Usando o orçamento do conjunto de anúncios",0,6.131852,Contínuo,153,40.077461,5,,1.22637,3.267974,7,4.575163,0.875979,5,1.22637,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Coluna da direita",Computador,active,"Configurações de vários atributos",,,4,2.75,,"Usando o orçamento do conjunto de anúncios",0,0.140271,Contínuo,11,12.751919,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Resultados da pesquisa",Computador,active,"Configurações de vários atributos",,,2,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,2,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Facebook,"Resultados da pesquisa","No app",active,"Configurações de vários atributos",,,67,1.089552,,"Usando o orçamento do conjunto de anúncios",0,0.490949,Contínuo,73,6.725327,2,,0.245474,2.739726,2,2.739726,0.245474,2,0.245474,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,Feed,Computador,active,"Configurações de vários atributos",,,74,1.054054,,"Usando o orçamento do conjunto de anúncios",0,8.486402,Contínuo,78,108.800031,2,,4.243201,2.564103,3,3.846154,2.828801,1,8.486402,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,Feed,"No app",active,"Configurações de vários atributos",8,actions:offsite_conversion.fb_pixel_purchase,16015,1.49104,275.55133194,"Usando o orçamento do conjunto de anúncios",0,2204.410656,Contínuo,23879,92.31587,419,,5.261123,1.75468,531,2.223711,4.151433,406,5.429583,,6.094536,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,Feed,"Web móvel",active,"Configurações de vários atributos",,,3,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,3,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,"Instagram Reels",Computador,active,"Configurações de vários atributos",,,51,1.078431,,"Usando o orçamento do conjunto de anúncios",0,2.875558,Contínuo,55,52.28287,,,,,4,7.272727,0.718889,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,"Instagram Reels","No app",active,"Configurações de vários atributos",9,actions:offsite_conversion.fb_pixel_purchase,15167,1.235182,135.36162514,"Usando o orçamento do conjunto de anúncios",0,1218.254626,Contínuo,18734,65.029072,233,,5.228561,1.243728,380,2.028398,3.205933,191,6.378296,,11.791886,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,"Instagram Reels","Web móvel",active,"Configurações de vários atributos",,,3,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,3,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Instagram,"Instagram Stories","No app",active,"Configurações de vários atributos",7,actions:offsite_conversion.fb_pixel_purchase,13892,1.594299,247.17487917,"Usando o orçamento do conjunto de anúncios",0,1730.224154,Contínuo,22148,78.121011,420,,4.119581,1.896334,576,2.600686,3.003861,409,4.230377,,6.977558,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Messenger,"Messenger Stories","No app",active,"Configurações de vários atributos",,,1,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,1,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo",Threads,"Feed do Threads","No app",active,"Configurações de vários atributos",,,27,1.111111,,"Usando o orçamento do conjunto de anúncios",0,1.643176,Contínuo,30,54.77253,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"06 - EVOLUTE - Vendas - Testes Público e Criativo","Sem categoria","Sem categoria","Sem categoria",active,"Configurações de vários atributos",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,4,,0,,0,0,0,5,0,,,0,0,,
2026-08-09,2026-08-13,"05 - EVOLUTE - Vendas - Remarketing",Instagram,Feed,Computador,active,"Configurações de vários atributos",,,44,1.409091,,"Usando o orçamento do conjunto de anúncios",0,4.764023,Contínuo,62,76.839081,3,,1.588008,4.83871,3,4.83871,1.588008,3,1.588008,,,0,0,,
2026-08-09,2026-08-13,"05 - EVOLUTE - Vendas - Remarketing",Instagram,Feed,"No app",active,"Configurações de vários atributos",5,actions:offsite_conversion.fb_pixel_purchase,7890,1.689734,217.1954137,"Usando o orçamento do conjunto de anúncios",0,1085.977068,Contínuo,13332,81.456426,235,,4.621179,1.762676,304,2.280228,3.572293,236,4.601598,,3.873728,0,0,,
2026-08-09,2026-08-13,"05 - EVOLUTE - Vendas - Remarketing",Instagram,"Instagram Reels",Computador,active,"Configurações de vários atributos",,,4,1.25,,"Usando o orçamento do conjunto de anúncios",0,0.050042,Contínuo,5,10.008452,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"05 - EVOLUTE - Vendas - Remarketing",Instagram,"Instagram Reels","No app",active,"Configurações de vários atributos",1,actions:offsite_conversion.fb_pixel_purchase,3242,1.282542,312.99431241,"Usando o orçamento do conjunto de anúncios",0,312.994312,Contínuo,4158,75.275207,64,,4.890536,1.539202,89,2.140452,3.51679,50,6.259886,,6.923448,0,0,,
2026-08-09,2026-08-13,"05 - EVOLUTE - Vendas - Remarketing",Instagram,"Instagram Stories","No app",active,"Configurações de vários atributos",3,actions:offsite_conversion.fb_pixel_purchase,8387,2.03112,329.42151793,"Usando o orçamento do conjunto de anúncios",0,988.264554,Contínuo,17035,58.013769,321,,3.078706,1.884356,408,2.395069,2.422217,296,3.338732,,2.791803,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Facebook,"Facebook Reels","No app",active,"Clique de 1 dia",20,profile_visit_view,1105,1.182805,0.63746567,"Usando o orçamento do conjunto de anúncios",0,12.749313,Contínuo,1307,9.754639,28,,0.455333,2.142311,71,5.432288,0.179568,7,1.82133,,,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Facebook,"Facebook Stories","No app",active,"Clique de 1 dia",6,profile_visit_view,170,1.052941,0.44972007,"Usando o orçamento do conjunto de anúncios",0,2.69832,Contínuo,179,15.074416,9,,0.299813,5.027933,9,5.027933,0.299813,1,2.69832,,,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Facebook,Feed,"No app",active,"Clique de 1 dia",10,profile_visit_view,509,1.196464,0.38217847,"Usando o orçamento do conjunto de anúncios",0,3.821785,Contínuo,609,6.275509,13,,0.293983,2.134647,29,4.761905,0.131786,2,1.910892,,,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Instagram,Feed,"No app",active,"Clique de 1 dia",115,profile_visit_view,3151,1.131387,0.33913269,"Usando o orçamento do conjunto de anúncios",0,39.00026,Contínuo,3565,10.939764,116,,0.336209,3.253857,111,3.113604,0.351354,34,1.147066,,,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Instagram,"Instagram Reels","No app",active,"Clique de 1 dia",87,profile_visit_view,1630,1.072393,0.26195719,"Usando o orçamento do conjunto de anúncios",0,22.790275,Contínuo,1748,13.037915,95,,0.239898,5.434783,84,4.805492,0.271313,28,0.813938,,,0,0,,
2026-08-09,2026-08-13,"04 - EVOLUTE - Tráfego - Aquecimento",Instagram,"Instagram Stories","No app",active,"Clique de 1 dia",44,profile_visit_view,1124,1.105872,0.36886469,"Usando o orçamento do conjunto de anúncios",0,16.230046,Contínuo,1243,13.057157,49,,0.331225,3.942076,44,3.539823,0.368865,11,1.475459,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Facebook,"Facebook Reels","No app",active,"Clique de 7 dias ou visualização de 1 dia",95,video_thruplay_watched_actions,583,1.171527,0.04028508,"Usando o orçamento do conjunto de anúncios",0,3.827082,Contínuo,683,5.603342,5,,0.765416,0.732064,22,3.221083,0.173958,4,0.956771,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Facebook,"Facebook Stories","No app",active,"Clique de 7 dias ou visualização de 1 dia",21,video_thruplay_watched_actions,112,1.080357,0.05390929,"Usando o orçamento do conjunto de anúncios",0,1.132095,Contínuo,121,9.356158,2,,0.566048,1.652893,3,2.479339,0.377365,1,1.132095,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Facebook,Feed,Computador,active,"Clique de 7 dias ou visualização de 1 dia",1,video_thruplay_watched_actions,5,1.8,0.01001854,"Usando o orçamento do conjunto de anúncios",0,0.010019,Contínuo,9,1.113171,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Facebook,Feed,"No app",active,"Clique de 7 dias ou visualização de 1 dia",85,video_thruplay_watched_actions,809,1.196539,0.04679248,"Usando o orçamento do conjunto de anúncios",0,3.977361,Contínuo,968,4.108844,,,,,28,2.892562,0.142049,,,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Facebook,Feed,"Web móvel",active,"Clique de 7 dias ou visualização de 1 dia",,,2,1.5,,"Usando o orçamento do conjunto de anúncios",0,0.010019,Contínuo,3,3.339513,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Instagram,Feed,Computador,active,"Clique de 7 dias ou visualização de 1 dia",,,1,1,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,1,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Instagram,Feed,"No app",active,"Clique de 7 dias ou visualização de 1 dia",265,video_thruplay_watched_actions,1983,1.16238,0.04665237,"Usando o orçamento do conjunto de anúncios",0,12.362879,Contínuo,2305,5.363505,6,,2.06048,0.260304,17,0.737527,0.727228,5,2.472576,,,0,0,,
2026-08-09,2026-08-13,"03 - EVOLUTE - Engajamento - Aquecimento",Instagram,"Instagram Reels",Computador,active,"Clique de 7 dias ou visualização de 1 dia",,,4,1,,"Usando o orçamento do conjunto de anúncios",0,0.010019,Contínuo,4,2.504635,,,,,0,0,0,,,,,0,0,,
