"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"Casa e clínicas - Brasil",inactive,"Clique de 7 dias ou visualização de 1 dia",66,actions:onsite_conversion.messaging_conversation_started_7d,2535,1.046943,0.77712121,25,Diário,51.29,Contínuo,2025-12-11,2654,19.325546,79,,0.649241,2.976639,112,4.220045,0.457946,1,51.29,,1.055761,0,54.15,,
2026-05-01,2026-08-08,"Leads + Semelhantes",active,"Clique de 7 dias ou visualização de 1 dia",2374,actions:onsite_conversion.messaging_conversation_started_7d,86119,1.982025,2.15834035,80,Diário,5123.9,Contínuo,2026-01-11,170690,30.018747,3040,,1.685493,1.781007,4414,2.585975,1.160829,101,50.731683,,0.746336,0,3824.15,,
2026-05-01,2026-08-08,"00 [INSTA] FUNIL 00 EMPRESA - Look a like 1% dos compradores do site - 30 a 52 anos",not_delivering,"Clique de 1 dia",610,profile_visit_view,11765,1.271823,0.51114754,10,Diário,311.8,Contínuo,2026-02-10,14963,20.838067,618,,0.504531,4.130188,539,3.602219,0.578479,60,5.196667,,,0,0,,
2026-05-01,2026-08-08,"01 [INSTA] FUNIL 00 - Viu vídeo do público 00 e não seguiu",not_delivering,"Clique de 1 dia",284,profile_visit_view,4880,2.343852,0.45827465,10,Diário,130.15,Contínuo,2026-02-10,11438,11.378738,288,,0.45191,2.517923,270,2.360553,0.482037,23,5.658696,,,0,0,,
2026-05-01,2026-08-08,"01 [AUTO] Advantage+",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",18,actions:offsite_conversion.fb_pixel_purchase,31979,1.820664,215.62611111,200,Diário,3881.27,Contínuo,2026-02-10,58223,66.662144,1237,,3.137648,2.12459,1741,2.990227,2.229334,1191,3.258833,,5.819216,0,22585.95,,
2026-05-01,2026-08-08,"00 [INSTA] Funil de casa - parte 01",inactive,"Clique de 1 dia",682,profile_visit_view,13978,1.0998,0.2508651,15,Diário,171.09,Contínuo,2026-02-12,15373,11.129253,730,,0.23437,4.748585,698,4.540428,0.245115,244,0.701189,,,0,0,,
2026-05-01,2026-08-08,"01 [INSTA] Funil de casa + Funil MC- PARTE 02 - Viu vídeo do público 00 e não seguiu",inactive,"Clique de 1 dia",463,profile_visit_view,9281,1.306433,0.37228942,15,Diário,172.37,Contínuo,2026-02-12,12125,14.216082,483,,0.356874,3.983505,472,3.892784,0.365191,139,1.240072,,,0,0,,
2026-05-01,2026-08-08,Lojas,inactive,"Clique de 7 dias ou visualização de 1 dia",26,actions:onsite_conversion.messaging_conversation_started_7d,3589,1.171914,3.55923077,13,Diário,92.54,Contínuo,2026-02-17,4206,22.001902,48,,1.927917,1.141227,72,1.71184,1.285278,,,,,0,0,,
2026-05-01,2026-08-08,Supermercado,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-02-26,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"TESTE DE PÚBLICO - 03 [AUTO] Look a like 1% compradores",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",1,actions:offsite_conversion.fb_pixel_purchase,9096,1.271438,648.63,60,Diário,648.63,Contínuo,2026-03-05,11565,56.085603,163,,3.979325,1.409425,259,2.239516,2.504363,161,4.028758,,0.087878,0,57,,
2026-05-01,2026-08-08,Hotel,inactive,"Clique de 7 dias ou visualização de 1 dia",62,actions:onsite_conversion.messaging_conversation_started_7d,6862,1.422909,4.08983871,10,Diário,253.57,Contínuo,2026-03-06,9764,25.969889,134,,1.892313,1.372388,199,2.038099,1.274221,4,63.3925,,,0,0,,
2026-05-01,2026-08-08,Paróquia,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-03-07,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"TESTE DE CRIATIVOS - Advantage+",active,"Clique de 7 dias ou visualização de 1 dia",30,actions:offsite_conversion.fb_pixel_purchase,27439,1.851088,138.77766667,200,Diário,4163.33,Contínuo,2026-03-09,50792,81.968223,1311,,3.17569,2.581115,1753,3.451331,2.374974,1241,3.354819,,7.616264,0,31709.02,,
2026-05-01,2026-08-08,MC,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,2026-03-09,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"Funil MC",inactive,"Clique de 1 dia",1480,profile_visit_view,36491,1.187526,0.28031757,15,Diário,414.87,Contínuo,2026-03-18,43334,9.573776,1531,,0.27098,3.533023,1488,3.433793,0.27881,105,3.951143,,,0,0,,
2026-05-01,2026-08-08,"02 [AUTO] MC",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,40,Diário,0,Contínuo,2026-04-02,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"00 [INSTA] Remarketing",active,"Clique de 7 dias ou visualização de 1 dia",45,actions:offsite_conversion.fb_pixel_purchase,41955,3.976522,179.98066667,300,Diário,8099.13,Contínuo,2026-04-02,166835,48.545749,2865,,2.826921,1.717266,3726,2.233344,2.17368,2747,2.948355,,5.504544,0,44582.02,,
