"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-09,2026-08-13,Quente,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,67,Diário,0,Contínuo,2025-01-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,Aberto,not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,67,Diário,0,Contínuo,2025-01-14,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"Frio - Advantage - Vídeo",not_delivering,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,50,Diário,0,Contínuo,2025-09-17,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"Masterchef - AD 1",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,30,Diário,0,Contínuo,2025-09-25,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"01 - Frio - Lookalike Leads e Compradores",active,"Clique de 7 dias ou visualização de 1 dia",266,actions:onsite_conversion.messaging_conversation_started_7d,11350,1.250925,1.88214286,95,Diário,500.65,Contínuo,2026-01-11,14198,35.262009,347,,1.442795,2.444006,501,3.528666,0.999301,13,38.511538,,,0,0,,
2026-08-09,2026-08-13,SP,not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,50,Diário,0,Contínuo,2026-01-12,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - 01 [AUTO] Advantage+",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,2026-02-10,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"02 - Morno - MC Engajamento",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",5,actions:offsite_conversion.fb_pixel_purchase,7079,1.376607,162.52,160,Diário,812.6,Contínuo,2026-02-21,9745,83.386352,252,,3.224603,2.585942,322,3.304259,2.523602,242,3.357851,,6.030002,0,4899.98,,
2026-08-09,2026-08-13,"02 - Frio - Advantage+ 25-55",active,"Clique de 7 dias ou visualização de 1 dia",7,actions:offsite_conversion.fb_pixel_purchase,6990,1.702289,146.93857143,200,Diário,1028.57,Contínuo,2026-03-09,11899,86.441718,256,,4.017852,2.151441,346,2.907807,2.972746,231,4.452684,,11.568284,0,11898.79,,
2026-08-09,2026-08-13,"01 - Quente - Remarketing Add to Cart",active,"Clique de 7 dias ou visualização de 1 dia",4,actions:offsite_conversion.fb_pixel_purchase,10409,2.387069,394.8625,300,Diário,1579.45,Contínuo,2026-04-02,24847,63.56703,371,,4.257278,1.493138,482,1.939872,3.276867,343,4.604811,,2.679946,0,4232.84,,
2026-08-09,2026-08-13,"03 - Frio - Advantage+ Raio MG-RJ-SP",active,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",8,actions:offsite_conversion.fb_pixel_purchase,20818,1.33937,195.69875,300,Diário,1565.59,Contínuo,2026-05-05,27883,56.148549,478,,3.275293,1.714306,654,2.345515,2.393869,452,3.463695,,7.254377,0,11357.38,,
2026-08-09,2026-08-13,"01 - Frio - Advantage+ GP 29-50",active,"Clique de 7 dias ou visualização de 1 dia",9,actions:offsite_conversion.fb_pixel_purchase,21400,1.462897,318.25333333,550,Diário,2864.28,Contínuo,2026-05-09,31306,91.493005,463,,6.18635,1.47895,661,2.111416,4.333253,426,6.723662,,5.801441,0,16616.95,,
2026-08-09,2026-08-13,"OFF - 01 [PARTE 02] Viu 01 e não seguiu",inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-05-11,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - 00 - Seguidores, vídeo MC e visitantes site e insta 30D",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,2026-05-12,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - 02 [PARTE 03] Viu 01 e 02 e não seguiu",inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-05-12,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF - 02 - Seguidores e visitantes - sem video MC",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,6,Diário,0,Contínuo,2026-05-22,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF (MIGRADO) - 00 [PARTE 01] Advantage+",inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-06-01,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"OFF (MIGRADO) - 00 Semelhante Compradores - SP / RJ / MG",inactive,"Clique de 1 dia",,,0,0,,10,Diário,0,Contínuo,2026-06-23,0,0,,,,,0,0,0,,,,,0,0,,
2026-08-09,2026-08-13,"01 - Frio - Advantage+ 25-55",active,"Clique de 7 dias ou visualização de 1 dia",15,actions:offsite_conversion.fb_pixel_purchase,20246,1.388966,185.30133333,"Usando orçamento da campanha",0,2779.52,Contínuo,2026-07-08,28121,98.841435,468,,5.939145,1.664237,592,2.105188,4.695135,449,6.190468,,8.813032,0,24496,,
2026-08-09,2026-08-13,"OFF - Conjunto DSB",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,100,Diário,0,Contínuo,2026-07-21,0,0,,,,,0,0,0,,,,,0,0,,
