Relatório de campanha
9 de agosto de 2026 - 12 de agosto de 2026
Dispositivo,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Impr.,Interações,Taxa de interação,Custo médio,Custo,Custo / todas as conv.,Valor conv.,Valor dos resultados,Tipo de estratégia de lances,Taxa de conv.,Valor conv. / custo,Conversões,Custo / conv.,Valor original da conv.
Outros,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00",0
Computadores,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,1.877,107,"5,70%","2,24","240,13","240,13","973,80","Compra: 973,80",ROAS desejado,"0,93%","4,06","1,00","240,13",0
Celulares,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,6.474,490,"7,57%","1,56","764,68","382,34","1.156,00","Compra: 1.156,00",ROAS desejado,"0,41%","1,51","2,00","382,34",0
Tablets,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,121,19,"15,70%","0,44","8,40",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00",0
Telas de TV,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,4,1,"25,00%","0,03","0,03",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00",0
Outros,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00",0
Computadores,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00",0
Celulares,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00",0
Tablets,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00",0
Telas de TV,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00",0
Outros,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00",0
