Relatório de campanha
9 de agosto de 2026 - 12 de agosto de 2026
Rede (com parceiros da rede de pesquisa),Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Impr.,Interações,Taxa de interação,Custo médio,Custo,Custo / todas as conv.,Valor conv.,Valor dos resultados,Tipo de estratégia de lances,Taxa de conv.,Valor conv. / custo,Conversões,Custo / conv.,Valor original da conv.
Pesquisa Google,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Parceiros da rede de pesquisa,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Rede de Display do Google,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Várias redes,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,8.476,617,"7,28%","1,64","1013,25","337,75","2.129,80","Compra: 2.129,80",ROAS desejado,"0,49%","2,10","3,00","337,75","2.129,80"
YouTube,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Google TV,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Canais do Google,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Gmail,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Discover,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Maps,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,"0,00",0,"0,00",0,ROAS desejado,"0,00%","0,00","0,00","0,00","0,00"
Pesquisa Google,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Parceiros da rede de pesquisa,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Rede de Display do Google,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Várias redes,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
YouTube,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Google TV,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Canais do Google,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Gmail,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Discover,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Maps,Pausada,[REMIND] [SEARCH] Campanha para ecommerce,"20,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,CPC manual,"0,00%","0,00","0,00","0,00","0,00"
Pesquisa Google,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Parceiros da rede de pesquisa,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Rede de Display do Google,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Várias redes,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
YouTube,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Google TV,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Canais do Google,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Gmail,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Discover,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
Maps,Pausada,Campaign #1,"43,93", --,Diário,BRL,Pausado,campanha pausada, --,Performance Max,0,0, --,0,"0,00",0,"0,00",0,Maximizar as conversões,"0,00%","0,00","0,00","0,00","0,00"
 --,Total: Campanhas, --, --, --, --,BRL, --,, --, --,8.478,618,"7,29%","1,64","1013,26","337,75","2.129,80","Compra: 2.129,80", --,"0,49%","2,10","3,00","337,75","2.129,80"
 --,Total: Campanhas, --, --, --, --,BRL, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
 --,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
Várias redes,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
 --,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
