Relatório de informações do leilão
1 de maio de 2026 - 12 de agosto de 2026
Domínio do URL de visualização,Parcela de impressões,Taxa de sobreposição,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de vitórias
glade.com,"10,17%","6,09%","58,63%","76,69%","29,33%","14,15%"
amazon.com.br,< 10%,"6,58%","60,31%","82,53%","30,66%","14,09%"
lenvieparfums.com,< 10%,"7,20%","55,79%","70,41%","30,87%","14,08%"
Você,"14,67%", --, --,"66,62%","22,35%", --
perfumaedecora.com.br,"20,17%","34,41%","52,54%","64,70%","18,12%","12,02%"
lojaolfati.com.br,< 10%,"10,66%","48,95%","61,18%","24,49%","13,91%"
lojaolyra.com.br,"29,45%","46,67%","65,09%","77,20%","34,93%","10,21%"
gruposenses.com.br,< 10%,"6,85%","55,42%","84,49%","28,97%","14,11%"
olyra.com.br,"13,99%","12,17%","69,26%","86,71%","48,91%","13,43%"
veuske.com.br,"17,96%","27,21%","64,23%","77,55%","35,69%","12,11%"
mercadolivre.com.br,"32,71%","31,59%","64,99%","88,81%","30,98%","11,66%"
shopee.com.br,"10,41%","5,79%","55,71%","83,25%","23,17%","14,20%"
