Relatório de informações do leilão
9 de agosto de 2026 - 12 de agosto de 2026
Domínio do URL de visualização,Parcela de impressões,Taxa de sobreposição,Taxa de posição superior,Taxa da parte superior da página,Taxa da 1ª posição na página,Parcela de vitórias
lenvieparfums.com,< 10%,"6,75%","59,02%","71,73%","31,33%","19,79%"
Você,"20,61%", --, --,"63,89%","20,10%", --
perfumaedecora.com.br,"24,79%","39,21%","57,48%","66,20%","21,29%","15,97%"
gruposenses.com.br,< 10%,"7,30%","51,52%","80,68%","33,11%","19,84%"
mercadolivre.com.br,"35,88%","35,89%","66,91%","88,98%","34,54%","15,66%"
veuske.com.br,"21,73%","26,52%","74,41%","78,45%","43,95%","16,55%"
glade.com,< 10%,"6,01%","66,87%","69,57%","21,89%","19,79%"
lojaolfati.com.br,"11,66%","23,02%","46,79%","57,69%","15,38%","18,39%"
shopee.com.br,< 10%,"3,28%","62,92%","83,83%","18,87%","20,19%"
lojaolyra.com.br,"29,81%","45,19%","64,65%","73,39%","28,75%","14,59%"
