Relatório de termos de pesquisa
9 de agosto de 2026 - 12 de agosto de 2026
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Campanha,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Tipo de campanha,Taxa de conv.,Conversões,Custo / conv.
melhor difusor de aromas,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,3,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheiro de lojas famosas,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
qual o melhor cheiro para aromatizador de ambiente,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheiro da loja trousseau,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheirinho eletronico,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
osklen vento,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador de ambiente com sensor de presença,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aroma marketing,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
perfumador de ambiente,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
aromatizador automatico de ambiente,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
difusor eletrico,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,23,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
difusor elétrico profissional,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
difusor granado,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
jo malone refil,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
dolce stella difusor,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
osklen aromatizador,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,3,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
lafacon com br,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
hathas,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
essencia vento osklen,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
essencia shopping cidade jardim,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheiro tania bulhoes,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
cheiro para casa automatico,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,2,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
tania bulhoes home spray,Performance Max,Nenhum,01 - EVOLUTE - Vendas - PMax, --,0,1,"0,00%",BRL,0,"0,00",Performance Max,"0,00%","0,00","0,00"
